,,,,,,,,,10日,5日,10日,,,,,
最新价,今日涨跌,代码,,名称,,板块,5日涨跌,,10日涨跌,主力净占比,主力净占比,,,,,
f2,f3,f12,f13,f14,f62,f100,f109,f124,f160,f165,f175,f184,f225,f263,f264,f265
1.44,5.11,2219,0,*ST恒康,11065627,医药制造,10.77,1592551863,18.03,2.44,-1.16,20.22,50,571,1340,BK0465
17.93,10,603787,1,新日股份,35035856,交运设备,13.84,1592552379,36.14,3.49,7.34,20.17,51,397,51,BK0429
4.19,2.2,615,0,京汉股份,12715458,房地产,3.97,1592551863,-1.87,9.72,-0.81,20.08,52,58,1178,BK0451
4.12,1.98,600821,1,*ST劝业,1582917,商业百货,0.73,1592552395,4.04,2.31,2.68,20,53,596,299,BK0482
4.57,5.06,601399,1,ST国重装,28957299,专用设备,-8.78,1592552376,5.06,-8.98,-19.24,19.95,54,3613,3937,BK0910
15.55,9.97,300374,0,恒通科技,23840240,装修装饰,25.1,1592551863,53.5,6.08,9.28,19.85,55,166,26,BK0725
9.25,9.99,2461,0,珠江啤酒,70504727,酿酒行业,7.18,1592551863,-3.44,4.11,-0.89,19.72,56,309,1213,BK0477
6.84,4.43,600463,1,空港股份,10927627,房地产,5.88,1592552380,3.79,12.16,6.92,19.39,57,31,60,BK0451
12.26,2.94,600837,1,海通证券,302903473,券商信托,4.52,1592552388,1.74,5.92,0.91,19.32,58,178,635,BK0473
10.81,4.55,600480,1,凌云股份,24970058,塑胶制品,2.27,1592552403,1.6,4.1,-1.09,19.29,59,313,1318,BK0454
15.27,1.19,603356,1,华菱精工,15852158,机械行业,8.45,1592552389,14.81,7.36,7.27,19.09,60,120,53,BK0545
1.42,0,727,0,*ST东科,6376542,电子元件,-2.74,1592551863,-5.96,-4.3,-3.92,19.02,61,2740,2640,BK0459
4.13,4.56,600327,1,大东方,38325535,商业百货,9.55,1592552385,7.55,12.3,6.58,19,62,29,67,BK0482
12.05,8.46,2365,0,永安药业,38901065,医药制造,9.95,1592551863,13.89,5.42,2.86,19,63,209,276,BK0465
15.72,2.54,603029,1,天鹅股份,5404698,机械行业,7.01,1592552388,5.08,7.23,3.33,18.78,64,126,221,BK0545
11.74,1.38,2806,0,华锋股份,3077770,电子元件,1.03,1592551863,-1.01,0.71,-0.77,18.7,65,977,1166,BK0459
21.45,1.56,600660,1,福耀玻璃,71557514,玻璃陶瓷,-0.37,1592552377,0.37,3.06,1.55,18.49,66,463,481,BK0546
5.93,1.19,2200,0,ST云投,1081851,园林工程,2.77,1592551863,1.72,3.96,0,18.28,67,329,887,BK0726
9.64,1.69,603298,1,杭叉集团,10641358,机械行业,4.56,1592552389,3.99,7.42,1.79,18.24,68,114,443,BK0545
62.29,9.99,2850,0,科达利,89975694,金属制品,7.71,1592551863,7.53,2.05,0.46,18.22,69,655,751,BK0739
4.05,2.02,600973,1,宝胜股份,7222954,输配电气,2.79,1592552387,1.5,0.17,-9.34,18.18,70,1148,3778,BK0457
5.27,3.33,627,0,天茂集团,28501552,保险,6.68,1592551863,5.19,8.15,1.08,18.14,71,94,580,BK0474
5.96,-0.33,605,0,渤海股份,1909707,公用事业,1.02,1592551863,-1.16,-1.02,-3.08,18.09,72,1586,2275,BK0427
5.63,2.55,2319,0,*ST乐通,1583912,化工行业,1.26,1592551863,6.23,10.42,5.96,17.93,74,51,76,BK0538
3.6,1.69,601058,1,赛轮轮胎,25623132,塑胶制品,-1.37,1592552385,-2.96,5.38,5.18,17.8,75,211,107,BK0454
15.9,3.92,603937,1,丽岛新材,19795205,金属制品,13.09,1592552381,16.57,7.86,5.92,17.52,76,104,77,BK0739
2.75,1.1,533,0,顺钠股份,2862294,输配电气,-0.72,1592551863,-1.08,-4.67,-3.92,17.49,77,2853,2643,BK0457
26.97,9.99,601689,1,拓普集团,93578045,汽车行业,7.97,1592552381,6.47,6.05,2.83,17.48,78,167,279,BK0481
6.27,10,603101,1,汇嘉时代,16970069,商业百货,16.54,1592552394,2.62,2.2,-0.1,17.46,79,618,940,BK0482
13.26,3.92,985,0,大庆华科,3889392,石油行业,0.53,1592551863,6.76,-0.99,4.42,17.43,80,1577,150,BK0464
3.85,2.39,548,0,湖南投资,4049080,高速公路,3.49,1592551863,3.49,6.78,5.38,17.39,81,139,98,BK0421
5.89,1.38,300011,0,鼎汉技术,3631391,交运设备,3.51,1592551863,-1.34,0.04,-3.37,17.29,82,1188,2399,BK0429
2.16,2.37,600698,1,ST天雁,2277083,交运设备,3.35,1592552376,-0.46,-2.79,-3.34,17.18,83,2269,2389,BK0429
21.07,10.03,600640,1,号百控股,124017677,文化传媒,18.24,1592552401,14.45,6.49,2.73,17.05,84,148,289,BK0486
13.05,2.92,2364,0,中恒电气,23433726,输配电气,2.19,1592551863,4.32,0.05,-0.24,16.98,85,1181,972,BK0457
9.7,3.08,600988,1,赤峰黄金,130948976,贵金属,-1.62,1592552387,3.41,-5.37,-3.12,16.76,86,3025,2291,BK0732
35.76,-1.7,603222,1,济民制药,40300538,医药制造,-25.58,1592552377,-27.36,11.17,-10.71,16.73,87,43,3853,BK0465
3.2,4.23,601228,1,广州港,26102428,港口水运,7.38,1592552381,4.92,11.91,7.25,16.43,88,34,54,BK0450
165.9,4.37,300750,0,宁德时代,678261072,汽车行业,4.14,1592551863,9.72,3.52,2.38,16.39,89,391,342,BK0481
5.44,0.74,600987,1,航民股份,3038926,纺织服装,1.12,1592552403,-1.45,0.68,1.31,16.37,90,991,527,BK0436
12.02,0.92,300275,0,梅安森,5914602,仪器仪表,-0.25,1592551863,0.92,-3.37,-2.95,16.37,91,2464,2216,BK0458
50.57,10.01,603661,1,恒林股份,33097543,木业家具,24.53,1592552380,22.89,12.99,8.4,16.26,92,24,34,BK0476
26.59,2.66,2299,0,圣农发展,98675088,农牧饲渔,6.36,1592551863,1.92,4.42,-0.65,16.12,93,280,1121,BK0433
9.22,2.44,2191,0,劲嘉股份,32319750,包装材料,5.98,1592551863,1.88,7.41,1.9,16.09,94,116,426,BK0733
10.13,6.18,2750,0,龙津药业,55409232,医药制造,11.56,1592551863,12.43,11.44,7.88,15.92,95,38,44,BK0465
4.98,0.2,2360,0,同德化工,1020815,化工行业,2.47,1592551863,1.43,-1.52,-0.94,15.89,96,1774,1244,BK0538
10.78,3.45,300177,0,中海达,50788137,通讯行业,4.36,1592551863,9.89,-0.9,-1.48,15.85,97,1525,1498,BK0448
10.82,2.75,601198,1,东兴证券,69483138,券商信托,3.24,1592552403,1.5,3.25,0.12,15.66,98,434,844,BK0473
147.12,2.49,596,0,古井贡酒,79937652,酿酒行业,1.24,1592551863,-0.59,-0.11,-2.01,15.65,99,1272,1769,BK0477
9.87,3.68,2419,0,天虹股份,26215397,商业百货,6.82,1592551863,2.92,3.81,-1.1,15.6,100,346,1323,BK0482
7.09,1.29,300329,0,海伦钢琴,2557068,文教休闲,2.31,1592551863,1,6.45,-1.14,15.55,101,149,1336,BK0740
58.61,7.11,688388,1,嘉元科技,60838702,材料行业,13.19,1592552377,6.95,10.53,5.98,15.3,102,49,75,BK0537
286.89,5.52,688023,1,安恒信息,15824162,电子信息,8.03,1592552377,6.26,-0.4,-1.26,15.21,103,1369,1384,BK0447
3.26,1.24,560,0,我爱我家,6398526,房地产,-1.81,1592551863,-3.26,-0.27,-1.91,15.2,104,1328,1723,BK0451
9.82,3.37,2497,0,雅化集团,84347242,化工行业,17.32,1592551863,18.03,5.6,2.73,15.16,105,198,288,BK0538
7.34,2.51,881,0,中广核技,5615209,综合行业,5.16,1592551863,1.1,-0.81,-5.57,15.13,106,1489,3194,BK0539
14.73,-0.14,603053,1,成都燃气,6078619,公用事业,2.36,1592552397,-0.34,4.75,-0.59,15.12,107,259,1098,BK0427
2.87,0.7,600220,1,XD江苏阳,12452664,纺织服装,7.89,1592552376,11.67,8.56,6.97,15.11,108,86,58,BK0436
7.75,0.91,603099,1,长白山,1840642,旅游酒店,-0.64,1592552376,-4.32,1.29,-0.73,15.1,109,826,1147,BK0485
8.63,2.74,603106,1,恒银金融,27156943,电子信息,2.98,1592552389,2.37,2.36,-0.27,15.06,110,584,984,BK0447
3.41,0.59,300089,0,文化长城,2393844,玻璃陶瓷,-2.57,1592551863,-2.01,-9.36,-4.69,15.01,111,3651,2920,BK0546
8.32,2.72,2282,0,博深股份,4015113,机械行业,0.73,1592551863,1.71,1.65,1.48,15,112,740,489,BK0545
7.42,0.95,601009,1,XD南京银,63262420,银行,1.09,1592552400,-1.07,7.96,-2.46,14.97,113,100,1979,BK0475
14.71,5,601990,1,南京证券,346300898,券商信托,4.55,1592552385,1.31,2.22,-1.02,14.94,114,610,1274,BK0473
2.85,-0.7,300108,0,吉药控股,2696906,医药制造,0,1592551863,-2.06,-1.85,-1.75,14.83,116,1907,1639,BK0465
3.44,-0.29,2652,0,扬子新材,912029,金属制品,-1.15,1592551863,-0.58,-2.68,1.66,14.82,117,2236,463,BK0739
9.04,5.12,2385,0,大北农,386829757,农牧饲渔,16.95,1592551863,12.16,7.17,2.02,14.78,118,129,406,BK0433
11.46,7,600774,1,汉商集团,5958868,商业百货,6.51,1592552381,0.7,5.24,1.3,14.72,119,222,530,BK0482
3.19,2.24,601010,1,文峰股份,10599015,商业百货,3.24,1592552391,1.27,4.6,-1.1,14.63,121,271,1321,BK0482
3.92,-0.25,600854,1,春兰股份,3231021,家电行业,3.16,1592552376,3.7,0.72,0.32,14.63,122,975,782,BK0456
4.91,1.24,498,0,山东路桥,4881691,工程建设,1.24,1592551863,0.2,-6.3,-4.77,14.61,123,3254,2950,BK0425
11.22,4.28,2736,0,国信证券,76346337,券商信托,5.45,1592551863,3.51,8.96,3.36,14.59,124,73,215,BK0473
4.46,-0.22,2550,0,千红制药,4863467,医疗行业,3.48,1592551863,5.19,4.22,6,14.59,125,299,74,BK0727
32.23,10,2025,0,航天电器,87249779,电子元件,12.85,1592551863,18.32,4.11,3.92,14.49,126,311,182,BK0459
197.8,8.18,603501,1,韦尔股份,268949840,电子元件,4.34,1592552389,6.06,0.49,0.21,14.44,127,1044,816,BK0459
2.13,0.47,600743,1,华远地产,2306037,房地产,1.43,1592552388,0,2.18,-3.53,14.41,128,626,2473,BK0451
19.73,4.12,2250,0,联化科技,24243401,农药兽药,4.84,1592551863,13.78,7.93,5.04,14.37,129,101,116,BK0730
6.79,3.35,783,0,长江证券,79038343,券商信托,7.27,1592551863,8.12,2.23,4.77,14.35,130,609,132,BK0473
6.72,0.9,813,0,德展健康,50805358,医药制造,9.8,1592551863,22.85,5.42,5.69,14.34,131,208,84,BK0465
23.85,3.34,600030,1,中信证券,936853472,券商信托,5.48,1592552389,4.42,7.21,4.75,14.31,132,128,133,BK0473
6.43,2.23,905,0,厦门港务,10105611,港口水运,-1.68,1592551863,2.23,-4.82,-0.36,14.31,133,2895,1016,BK0450
5.1,0,953,0,*ST河化,1100176,化肥行业,0.39,1592551863,-0.97,0.16,-3.28,14.27,134,1155,2368,BK0731
4.73,1.72,600249,1,两面针,6765012,化工行业,1.72,1592552404,-4.64,-3.37,-7.33,14.26,135,2461,3546,BK0538
20.64,2.23,2335,0,科华恒盛,18106876,输配电气,4.93,1592551863,3.77,5.08,0.75,14.23,136,234,671,BK0457
27.88,6.74,300326,0,凯利泰,125224336,医疗行业,7.77,1592551863,-0.04,5.6,0.77,14.19,137,199,666,BK0727
3.89,1.3,2936,0,郑州银行,16584660,银行,1.57,1592551863,1.3,3.74,0.72,14.12,138,359,679,BK0475
31.08,10.02,603486,1,科沃斯,26871418,家电行业,10.68,1592552380,8.37,2.51,-2.81,13.97,139,556,2154,BK0456
12.27,1.15,603768,1,常青股份,2044435,汽车行业,3.9,1592552395,10.94,3.06,4.25,13.96,140,465,159,BK0481
6.68,0,603758,1,秦安股份,1539263,汽车行业,1.67,1592552389,0.3,0.41,-2.64,13.89,141,1073,2074,BK0481
8.39,0.72,600629,1,华建集团,1482978,工程建设,1.57,1592552379,-1.06,2.19,-0.46,13.86,142,623,1051,BK0425
6.39,1.75,601319,1,中国人保,45593218,保险,3.06,1592552403,1.59,2.8,-1.88,13.84,143,512,1709,BK0474
2.5,0.81,2374,0,丽鹏股份,1411001,园林工程,1.63,1592551863,-0.4,7.37,2.37,13.81,144,119,345,BK0726
7.08,1.43,600390,1,五矿资本,12433306,多元金融,1.87,1592552392,3.66,-2.28,-4.26,13.79,145,2070,2766,BK0738
9.35,7.59,600732,1,爱旭股份,32172155,材料行业,6.61,1592552397,16.29,7.22,5.2,13.76,146,127,105,BK0537
5.94,3.48,2033,0,丽江股份,7153088,旅游酒店,1.89,1592551863,0.34,5.21,0.88,13.73,147,225,640,BK0485
3.64,0.28,600939,1,重庆建工,2029007,工程建设,1.11,1592552391,-2.67,1.62,-0.73,13.69,148,745,1146,BK0425
21.19,10.02,2050,0,三花智控,145988542,家电行业,9,1592551863,12.71,7.41,3.12,13.64,149,115,246,BK0456
10.3,4.46,300484,0,蓝海华腾,12991662,输配电气,4.36,1592551863,-3.74,1.86,-3.01,13.6,150,701,2244,BK0457
13.79,1.85,603728,1,鸣志电器,8121072,机械行业,7.23,1592552379,9.01,8.92,6.96,13.59,151,75,59,BK0545
18.8,7.55,300568,0,星源材质,43618014,材料行业,4.62,1592551863,2.45,1.91,-1.47,13.55,152,686,1493,BK0537
