,,,,,,,,,10日,5日,10日,,,,,
最新价,今日涨跌,代码,,名称,,板块,5日涨跌,,10日涨跌,主力净占比,主力净占比,,,,,
f2,f3,f12,f13,f14,f62,f100,f109,f124,f160,f165,f175,f184,f225,f263,f264,f265
12.08,3.16,300138,0,晨光生物,1623909,农牧饲渔,-0.98,1592551863,8.44,-6.02,-2.72,1.45,1183,3196,2109,BK0433
4.97,0.2,2691,0,冀凯股份,108746,机械行业,1.02,1592551863,0.2,-1.9,-4.51,1.44,1184,1924,2862,BK0545
60.21,1.33,688321,1,微芯生物,1287608,医药制造,9.77,1592552401,5.65,1.76,-0.89,1.42,1185,716,1221,BK0465
4.35,0.69,600811,1,东方集团,2816082,综合行业,9.85,1592552401,7.14,-0.82,-0.6,1.41,1186,1491,1100,BK0539
6.97,0.14,930,0,中粮科技,826605,农牧饲渔,2.8,1592551863,0.14,-2.61,-7.27,1.41,1187,2215,3530,BK0433
73.16,1.7,603068,1,博通集成,1718458,电子元件,0.88,1592552400,-2,-2.9,-2.79,1.41,1188,2310,2149,BK0459
5.76,1.05,2537,0,海联金汇,1571208,电子信息,4.54,1592551863,-1.87,-2.86,-5.58,1.4,1189,2295,3197,BK0447
10.02,0.1,603328,1,依顿电子,1160784,电子元件,2.24,1592552385,-0.79,-1.75,-4.04,1.4,1190,1867,2686,BK0459
39.46,0.92,688396,1,华润微,6502275,电子元件,-1,1592552393,-7.17,-8.31,-8.01,1.38,1191,3546,3649,BK0459
74.05,2.6,601100,1,恒立液压,4692795,机械行业,-0.8,1592552388,-0.74,-5.98,-3.78,1.37,1192,3189,2593,BK0545
46.06,0.79,688001,1,华兴源创,2074082,专用设备,7.34,1592552383,4.33,-0.54,-2.66,1.37,1193,1409,2082,BK0910
25.98,-2.77,603396,1,金辰股份,984731,专用设备,8.84,1592552381,11.74,3.37,1.67,1.37,1194,414,461,BK0910
35.22,1.21,300696,0,爱乐达,1066062,航天航空,6.6,1592551863,22.42,-0.47,-0.6,1.37,1195,1389,1104,BK0480
13.57,0.07,300732,0,设研院,189517,工程建设,1.88,1592551863,-1.88,-1.9,-7.56,1.37,1196,1925,3574,BK0425
137.52,1.72,300676,0,华大基因,16002552,医药制造,1.08,1592551863,11.35,-5.04,-2.33,1.36,1197,2950,1926,BK0465
5.98,0,2559,0,亚威股份,279663,机械行业,1.01,1592551863,5.28,-2.85,-2.27,1.36,1198,2292,1897,BK0545
24.56,0,2138,0,顺络电子,6855971,电子元件,4.24,1592551863,1.19,0.37,-2.97,1.34,1199,1082,2225,BK0459
47.98,0.52,603258,1,电魂网络,4855013,软件服务,11.12,1592552397,19.83,0.41,0.17,1.34,1200,1070,827,BK0737
3.85,0,2377,0,国创高新,316853,房地产,-1.79,1592551863,0.52,-5.92,-4.29,1.33,1201,3175,2778,BK0451
10.5,0.48,2376,0,新北洋,732300,电子信息,3.35,1592551863,3.65,5.25,0.97,1.32,1202,219,611,BK0447
88,1.53,2791,0,坚朗五金,1624776,金属制品,6.56,1592551863,4.72,2.26,-1.56,1.32,1203,604,1548,BK0739
12.32,0.57,2518,0,科士达,999588,输配电气,1.23,1592551863,2.07,-4.65,-1.86,1.31,1204,2846,1695,BK0457
3.35,0,601288,1,农业银行,8758884,银行,-0.89,1592552379,-2.05,-7.46,-4.36,1.3,1205,3439,2803,BK0475
10.92,1.11,300088,0,长信科技,22921577,电子元件,12.93,1592551863,10.3,1.65,-0.45,1.29,1206,737,1045,BK0459
31.37,0.22,603610,1,麒盛科技,1012614,木业家具,5.16,1592552392,3.29,0.48,-0.79,1.29,1207,1048,1169,BK0476
14.96,-0.13,300488,0,恒锋工具,171927,金属制品,0.94,1592551863,-18.12,-1.75,-3.99,1.27,1208,1869,2669,BK0739
6.16,-0.48,2397,0,梦洁股份,1909193,纺织服装,-3.6,1592551863,-14.33,-6.08,-4.23,1.26,1209,3210,2750,BK0436
27.14,0.89,300456,0,赛微电子,4429599,航天航空,4.18,1592551863,2.22,1.85,0.24,1.25,1210,702,803,BK0480
5.57,1.64,600769,1,祥龙电业,139646,工程建设,1.64,1592552389,-1.24,0.3,-1.03,1.25,1211,1105,1281,BK0425
3.04,0.33,2431,0,棕榈股份,735377,园林工程,2.36,1592551863,9.35,-1.11,1.41,1.24,1212,1616,504,BK0726
8.55,1.42,300471,0,厚普股份,1168492,机械行业,2.52,1592551863,2.52,-0.91,-1.64,1.24,1213,1535,1585,BK0545
4.22,0.48,600202,1,哈空调,89625,机械行业,1.2,1592552385,-0.71,-2.05,-0.21,1.24,1214,1980,965,BK0545
17.24,-0.35,603218,1,日月股份,967796,机械行业,4.68,1592552400,-0.06,-0.71,-1.91,1.23,1215,1452,1724,BK0545
16.4,1.23,998,0,隆平高科,7340658,农牧饲渔,2.12,1592551863,1.49,-2.07,-3.27,1.22,1216,1986,2363,BK0433
63.16,4.92,300595,0,欧普康视,5322717,专用设备,5.44,1592551863,1.07,-2.91,-4.08,1.22,1217,2313,2700,BK0910
9.85,0.31,300389,0,艾比森,530975,电子元件,4.68,1592551863,1.44,-2.33,-3.2,1.21,1218,2096,2337,BK0459
5.13,0,2533,0,金杯电工,178211,输配电气,0.98,1592551863,-2.84,-2.21,-4.1,1.21,1219,2048,2708,BK0457
5.04,-0.2,300376,0,易事特,706620,输配电气,4.56,1592551863,2.86,-0.07,-4.28,1.2,1220,1254,2772,BK0457
64.49,0.75,300616,0,尚品宅配,243209,木业家具,-0.02,1592551863,-2.88,3.02,-1.89,1.2,1221,471,1718,BK0476
63.65,2.81,710,0,贝瑞基因,2464309,医疗行业,5.09,1592551863,9.67,-2.05,-0.23,1.19,1222,1979,969,BK0727
43,-1.17,603638,1,艾迪精密,1241575,专用设备,4.22,1592552397,13.16,1.88,-1.75,1.19,1223,695,1642,BK0910
91.75,1.61,603613,1,国联股份,2041069,电子信息,1.72,1592552379,11.55,-7.51,-3.06,1.19,1224,3446,2262,BK0447
3.51,-0.57,2593,0,日上集团,188937,钢铁行业,1.45,1592551863,-1.68,0.42,-6.18,1.18,1225,1067,3349,BK0479
10.24,-0.87,600753,1,东方银星,506694,国际贸易,-18.54,1592552377,-23.07,-6.08,-6.76,1.18,1226,3213,3456,BK0484
22.95,0.66,2943,0,宇晶股份,626195,专用设备,-3.04,1592551863,-4.41,-2.08,-1.52,1.17,1227,1992,1523,BK0910
4.84,1.04,600800,1,天津磁卡,368027,电子信息,0.41,1592552376,-1.63,-3.36,-5.58,1.16,1228,2458,3198,BK0447
73.72,2.36,300653,0,正海生物,1905969,医疗行业,7.31,1592551863,21.27,-3.2,-1.81,1.16,1229,2408,1667,BK0727
21.36,4.14,300168,0,万达信息,7847354,软件服务,0.33,1592551863,8.15,-2.78,0.52,1.14,1230,2265,737,BK0737
5.15,0.98,600361,1,华联综超,1547235,商业百货,10.99,1592552385,10.28,2.33,0.42,1.14,1231,591,760,BK0482
5.15,0.59,31,0,大悦城,598120,房地产,3,1592551863,1.18,0.16,-2.77,1.14,1232,1152,2135,BK0451
62.21,0.55,2869,0,金溢科技,1368310,软件服务,2.49,1592551863,0.08,0.46,-1.42,1.14,1233,1058,1469,BK0737
6.27,0.64,2224,0,三 力 士,531731,塑胶制品,0.97,1592551863,3.81,-5.72,-2.91,1.13,1234,3128,2198,BK0454
15.9,-0.75,603699,1,纽威股份,350506,机械行业,-2.75,1592552400,0.38,-6.22,-5.09,1.13,1235,3238,3041,BK0545
3.91,2.62,2170,0,芭田股份,1272109,化肥行业,5.68,1592551863,3.17,-1.35,-3.67,1.12,1236,1705,2542,BK0731
18.51,0.54,300735,0,光弘科技,1672761,电子元件,2.43,1592551863,0.76,-2.03,-2.12,1.12,1237,1967,1826,BK0459
7.51,0.67,537,0,广宇发展,578131,房地产,1.49,1592551863,9.96,-1.85,1.03,1.12,1238,1906,593,BK0451
6.72,1.05,601111,1,中国国航,3040889,民航机场,0.6,1592552383,-6.41,-5.09,-6.16,1.11,1239,2959,3342,BK0420
11.99,0.25,300491,0,通合科技,168959,输配电气,-2.6,1592551863,-2.91,-4.45,-2.16,1.11,1240,2784,1853,BK0457
14.38,0.35,600460,1,士兰微,2893692,电子元件,1.2,1592552392,-2.77,-6.98,-7.66,1.1,1241,3366,3588,BK0459
14.14,0.78,2734,0,利民股份,1162367,农药兽药,3.82,1592551863,10.12,1.09,1.76,1.1,1242,876,447,BK0730
3.52,0,600269,1,赣粤高速,202169,高速公路,0.28,1592552383,-0.85,1.88,-0.43,1.1,1243,693,1040,BK0421
17.43,0.4,2362,0,汉王科技,857422,软件服务,4.18,1592551863,3.69,3.66,2.1,1.1,1244,375,390,BK0737
10.16,3.78,2375,0,亚厦股份,2016331,装修装饰,12.14,1592551863,8.9,2.09,1.39,1.09,1245,644,508,BK0725
41.03,2.06,2368,0,太极股份,4546057,软件服务,2.94,1592551863,0.42,-2.02,-2.74,1.09,1246,1963,2122,BK0737
12.99,0,300078,0,思创医惠,2044531,电子信息,3.67,1592551863,2.44,0.13,-1.42,1.08,1247,1161,1462,BK0447
11.11,1.37,2697,0,红旗连锁,1753106,商业百货,7.66,1592551863,4.71,0.29,-1,1.08,1248,1107,1266,BK0482
8.82,0.8,2182,0,云海金属,1066309,有色金属,1.97,1592551863,3.64,-0.81,-0.01,1.07,1249,1487,905,BK0478
11.47,5.13,603223,1,恒通股份,540197,交运物流,2.96,1592552400,7.7,-3.46,-5.02,1.07,1250,2493,3020,BK0422
3.08,-0.32,600979,1,广安爱众,66312,电力行业,-0.96,1592552385,0,-1.64,-0.72,1.07,1251,1829,1142,BK0428
28.12,1.08,300577,0,开润股份,387406,纺织服装,0.46,1592551863,-4.61,-2.79,-1.55,1.07,1252,2271,1543,BK0436
75.99,0.74,688088,1,虹软科技,889870,软件服务,-1.38,1592552397,-1.03,-4.98,-2.52,1.07,1253,2936,2016,BK0737
10.5,1.16,878,0,云南铜业,3516124,有色金属,3.86,1592551863,6.6,-0.71,-2.12,1.06,1254,1449,1822,BK0478
29.97,2.71,603197,1,保隆科技,1573262,汽车行业,1.32,1592552403,-0.7,-1.42,-2.67,1.06,1255,1734,2085,BK0481
6.52,0.46,600461,1,洪城水业,275439,公用事业,1.56,1592552383,-1.06,-1.86,-8.48,1.06,1256,1910,3702,BK0427
5.3,1.73,600540,1,新赛股份,1943561,农牧饲渔,1.53,1592552393,12.05,-4.1,-0.5,1.05,1257,2681,1066,BK0433
5.78,3.21,600199,1,金种子酒,1822030,酿酒行业,8.85,1592552389,5.67,0.15,-2.97,1.05,1258,1156,2224,BK0477
77.17,0.55,600536,1,中国软件,8980279,软件服务,-1.82,1592552389,-0.89,-10.68,-7.74,1.05,1259,3753,3602,BK0737
9.53,0.53,600064,1,南京高科,781682,房地产,3.47,1592552391,0.53,0.03,-4.12,1.05,1260,1194,2716,BK0451
95,0.25,688168,1,安博通,354428,软件服务,1.46,1592552385,-5.41,-5.14,-5.29,1.04,1261,2969,3116,BK0737
3.12,0.65,600428,1,中远海特,329345,港口水运,3.31,1592552383,1.63,4.35,1.51,1.03,1262,292,484,BK0450
4.53,0.67,600717,1,DR天津港,351739,港口水运,2.49,1592552393,1.12,1.31,-2.48,1.03,1263,818,1991,BK0450
6.87,2.38,600573,1,惠泉啤酒,516388,酿酒行业,1.48,1592552389,-7.29,-2.88,-6.14,1.03,1264,2300,3337,BK0477
28.61,0.07,2831,0,裕同科技,1064099,造纸印刷,5.34,1592551863,8.41,1.99,0.33,1.02,1265,671,778,BK0470
42.98,3.34,300662,0,科锐国际,1127465,文教休闲,0.02,1592551863,-0.9,-4.53,-3.71,1.02,1266,2805,2564,BK0740
64.59,-0.17,2410,0,广联达,4649594,软件服务,8.5,1592551863,10.47,3.98,-0.6,1.01,1267,326,1102,BK0737
11.19,-0.44,300542,0,新晨科技,208580,软件服务,1.91,1592551863,0.36,-2.38,-1.89,1.01,1268,2120,1716,BK0737
3.14,0.64,601992,1,金隅集团,607459,水泥建材,1.62,1592552379,0,2.55,-6.69,0.99,1269,550,3442,BK0424
4.96,0.4,682,0,东方电子,347417,软件服务,0.2,1592551863,-2.36,-6.61,-5.14,0.99,1270,3300,3058,BK0737
4.42,0.23,2165,0,红 宝 丽,206914,化工行业,1.61,1592551863,-1.34,-1.29,-9.2,0.99,1271,1682,3771,BK0538
22.41,0.49,300161,0,华中数控,717460,机械行业,5.61,1592551863,4.04,0.69,-2.12,0.99,1272,986,1829,BK0545
121.97,0.99,300815,0,玉禾田,1309211,公用事业,4.19,1592551863,-0.52,2.59,0.08,0.99,1273,541,859,BK0427
3.67,0.27,600212,1,*ST江泉,170463,综合行业,-2.65,1592552400,9.88,-6.25,0.69,0.98,1274,3249,690,BK0539
7.17,3.76,426,0,兴业矿业,3240863,有色金属,9.13,1592551863,-1.1,3.63,-1.29,0.97,1275,379,1396,BK0478
6.57,0,600458,1,XD时代新,269454,材料行业,1.39,1592552400,1.23,-7.49,-2.45,0.97,1276,3443,1975,BK0537
16.73,1.89,603729,1,龙韵股份,316369,文化传媒,6.36,1592552380,0.24,0.04,-1.87,0.97,1277,1189,1705,BK0486
5.68,1.07,600606,1,绿地控股,2677309,房地产,2.53,1592552381,3.46,2.57,3.89,0.96,1278,543,183,BK0451
1.61,0,600654,1,ST中安,41988,软件服务,-2.42,1592552400,-4.73,-6.86,-4.72,0.96,1279,3348,2933,BK0737
14.25,1.06,2055,0,得润电子,1571929,电子元件,-1.72,1592551863,-3.59,-7.36,-4.9,0.95,1280,3423,2986,BK0459
8.42,0.36,300224,0,正海磁材,437178,材料行业,-2.66,1592551863,-2.09,-4.95,-3.76,0.95,1281,2927,2588,BK0537
23.86,-0.83,2935,0,天奥电子,633565,专用设备,1.71,1592551863,6.38,2.44,1.38,0.95,1282,573,512,BK0910
45.94,1.3,603816,1,顾家家居,1094950,木业家具,6.56,1592552389,1.48,-0.38,-1.97,0.95,1283,1362,1752,BK0476
3.9,0.52,300027,0,华谊兄弟,691121,文化传媒,-3.23,1592551863,-10.76,-6.11,-7.2,0.94,1284,3219,3516,BK0486
13.33,1.06,2237,0,恒邦股份,1509501,贵金属,-0.82,1592551863,-2.27,-10.46,-10.28,0.94,1285,3743,3828,BK0732
32.3,0.09,601155,1,新城控股,3488209,房地产,2.02,1592552388,-0.52,0.34,-1.61,0.94,1286,1091,1565,BK0451
9.27,0.87,603701,1,德宏股份,522779,机械行业,3.11,1592552376,2.89,-1.92,-2.21,0.94,1287,1930,1869,BK0545
15.46,5.82,2080,0,中材科技,5353541,玻璃陶瓷,7.51,1592551863,13.68,-1.6,-0.91,0.93,1288,1811,1227,BK0546
14.18,2.68,2227,0,奥 特 迅,750223,输配电气,7.02,1592551863,4.73,0.24,-2.63,0.93,1289,1124,2065,BK0457
30.57,0.56,300483,0,沃施股份,206900,石油行业,2.14,1592551863,-0.78,0.9,-0.93,0.93,1290,933,1239,BK0464
5.97,-0.33,300018,0,中元股份,704349,输配电气,6.61,1592551863,3.83,4.42,1.14,0.92,1291,281,562,BK0457
3.77,0.27,300094,0,国联水产,214370,农牧饲渔,-0.79,1592551863,-8.72,-3.26,-4.97,0.91,1292,2418,3003,BK0433
14.99,0.6,603221,1,爱丽家居,559907,木业家具,-7.92,1592552385,-4.95,-7.04,-4.99,0.91,1293,3378,3010,BK0476
6.58,0.3,2759,0,天际股份,105599,家电行业,0.15,1592551863,-2.23,-1.63,-1.71,0.91,1294,1822,1617,BK0456
3.47,3.58,300008,0,天海防务,1912279,船舶制造,11.58,1592551863,10.16,-3.13,-3.83,0.9,1295,2384,2609,BK0729
6.56,0.92,829,0,天音控股,2749854,通讯行业,13.69,1592551863,12.71,7.98,4.9,0.9,1296,99,126,BK0448
5.01,0.4,300066,0,三川智慧,404684,仪器仪表,3.09,1592551863,-0.2,-0.17,-7.03,0.9,1297,1297,3491,BK0458
18.2,0.5,25,0,特  力Ａ,753028,汽车行业,1.96,1592551863,1.68,0.97,0.53,0.9,1298,901,735,BK0481
21.12,-0.09,300656,0,民德电子,429154,电子信息,6.94,1592551863,4.5,-2.11,-2.27,0.9,1299,2006,1900,BK0447
3.08,0.33,600008,1,首创股份,424875,公用事业,1.65,1592552385,-0.65,4.77,-2.86,0.88,1300,254,2174,BK0427
4.8,0.84,690,0,宝新能源,361177,电力行业,1.48,1592551863,-0.21,-3.49,-7.46,0.88,1301,2506,3558,BK0428
11.31,0.44,2124,0,天邦股份,3960108,农牧饲渔,7.82,1592551863,7.41,-1.17,-3.61,0.87,1302,1634,2515,BK0433
5.75,-1.03,603366,1,XD日出东,391935,家电行业,2.31,1592552401,-3.2,2.69,-2.45,0.87,1303,529,1972,BK0456
12.18,7.12,913,0,钱江摩托,3328306,交运设备,17.45,1592551863,14.26,4.4,2.4,0.86,1304,283,337,BK0429
5.27,1.74,2004,0,华邦健康,1429460,农药兽药,5.4,1592551863,3.94,-1.4,-0.43,0.86,1305,1725,1037,BK0730
2.83,0,601218,1,吉鑫科技,199570,专用设备,3.28,1592552385,0.71,0.52,-1.19,0.86,1306,1034,1348,BK0910
15,4.24,600198,1,大唐电信,19201680,通讯行业,23.56,1592552387,24.48,1.69,-0.37,0.85,1307,731,1017,BK0448
4.28,0.23,603169,1,兰石重装,119833,专用设备,2.15,1592552388,-1.61,2.9,-1.86,0.85,1308,495,1697,BK0910
25.92,0.19,688007,1,光峰科技,305753,电子元件,0.86,1592552388,-4.95,-1.64,-5,0.85,1309,1830,3016,BK0459
7.59,0.4,300284,0,苏交科,346525,工程建设,1.88,1592551863,0,-0.1,-4.34,0.84,1310,1266,2799,BK0425
3.49,0.29,600386,1,北巴传媒,139017,交运物流,-1.97,1592552377,-2.79,-6.24,-4.94,0.84,1311,3244,2996,BK0422
10.8,0.37,603676,1,卫信康,309610,医药制造,3.35,1592552403,0.84,-0.77,-1.74,0.83,1312,1477,1634,BK0465
6.04,-0.17,600094,1,大名城,997664,房地产,-0.17,1592552391,0.83,5.05,3.92,0.82,1313,236,181,BK0451
32.05,1.94,300596,0,利安隆,1117066,化工行业,2.72,1592551863,-0.43,-1.79,0.12,0.82,1314,1880,846,BK0538
70.85,2.87,300607,0,拓斯达,1741547,机械行业,-2.05,1592551863,1.53,-4.12,-2.27,0.82,1315,2689,1898,BK0545
55,-0.58,2940,0,昂利康,894973,医药制造,-4.65,1592551863,8.1,-3.38,-2.11,0.82,1316,2468,1820,BK0465
6.05,0.33,2339,0,积成电子,126424,软件服务,2.2,1592551863,-1.14,-1.05,-6.89,0.81,1317,1596,3473,BK0737
8.96,-0.67,2394,0,联发股份,150808,纺织服装,0.67,1592551863,-0.88,-9.17,-9.99,0.81,1318,3633,3809,BK0436
24.69,-0.8,603507,1,振江股份,111667,输配电气,-0.28,1592552376,-1.2,1.35,-1.38,0.81,1319,809,1443,BK0457
25.71,0.55,300663,0,科蓝软件,2617524,软件服务,15.03,1592551863,20.25,5.14,4.08,0.8,1320,229,169,BK0737
1.43,-2.72,2052,0,*ST同洲,143506,通讯行业,2.88,1592551863,-4.03,0.43,-5.87,0.78,1321,1065,3274,BK0448
21.49,1.51,2733,0,雄韬股份,1461833,电子元件,2.04,1592551863,3.22,-3.63,-3.28,0.78,1322,2547,2366,BK0459
5.2,0.97,2349,0,精华制药,490655,医药制造,4.21,1592551863,1.56,1.49,-1.55,0.77,1323,774,1539,BK0465
8.93,0.11,902,0,新洋丰,506844,化肥行业,-1,1592551863,-0.67,5.73,3.25,0.77,1324,188,228,BK0731
5.22,0.38,2077,0,*ST大港,259694,房地产,1.75,1592551863,1.16,-3.41,-3.22,0.77,1325,2479,2345,BK0451
16.15,0.69,300707,0,威唐工业,431375,汽车行业,-4.66,1592551863,0.87,-4.94,-2.22,0.75,1326,2925,1874,BK0481
5.04,0.4,300061,0,旗天科技,107417,文化传媒,2.44,1592551863,-3.26,2.46,-0.62,0.75,1327,570,1114,BK0486
4.87,0.21,410,0,*ST沈机,78596,机械行业,1.88,1592551863,0.21,3.64,-2.83,0.75,1328,378,2163,BK0545
12.1,0.33,2436,0,兴森科技,3004356,电子元件,-0.08,1592551863,-5.62,-7.81,-10.11,0.73,1329,3490,3816,BK0459
7.2,0.42,2522,0,浙江众成,1528890,包装材料,3.9,1592551863,7.62,-1.77,-1.74,0.71,1330,1873,1632,BK0733
15.65,4.54,300561,0,汇金科技,1092484,软件服务,5.53,1592551863,0.84,-1.48,-4.52,0.71,1331,1753,2864,BK0737
10.48,0.38,603668,1,天马科技,687400,农牧饲渔,6.4,1592552404,11.37,0.1,0.05,0.69,1332,1167,871,BK0433
74.89,0.55,300226,0,上海钢联,1523288,电子信息,12.4,1592551863,12.79,4.93,5.04,0.68,1333,242,117,BK0447
119.39,2.37,603288,1,海天味业,5788865,食品饮料,3.73,1592552394,3.48,-0.77,-2.11,0.67,1334,1476,1816,BK0438
4.96,0,2290,0,*ST中科,57278,材料行业,-10.47,1592551863,-7.81,0.5,-0.02,0.67,1335,1042,908,BK0537
47.69,0.48,603180,1,金牌厨柜,470476,木业家具,3.23,1592552393,-0.31,1.55,-2.15,0.67,1336,757,1848,BK0476
14.31,1.13,300703,0,创源文化,687215,文教休闲,5.92,1592551863,21.37,0.18,0.13,0.66,1337,1143,841,BK0740
8.94,-0.11,300532,0,今天国际,190567,软件服务,3.83,1592551863,1.59,-2.37,-1.46,0.66,1338,2116,1489,BK0737
17.4,-1.14,2058,0,威 尔 泰,120932,仪器仪表,-2.68,1592551863,-5.38,-1.53,-2.47,0.65,1339,1777,1989,BK0458
9.67,1.47,600418,1,江淮汽车,9426517,汽车行业,-12.25,1592552385,5.34,-10.99,-4.87,0.64,1340,3770,2978,BK0481
23.34,1.7,21,0,深科技,6998169,电子信息,1.74,1592551863,-3.63,-3.89,-6.82,0.64,1341,2629,3460,BK0447
54.08,-1.13,300394,0,天孚通信,1414190,通讯行业,11.92,1592551863,15.11,0.8,0.65,0.64,1342,958,699,BK0448
5.71,0.53,88,0,盐 田 港,1457980,港口水运,28.03,1592551863,25.22,8.65,7.98,0.61,1343,80,39,BK0450
6.19,0.98,524,0,岭南控股,58078,旅游酒店,-1.75,1592551863,-2.83,-7.35,-5.6,0.6,1344,3422,3211,BK0485
13.44,1.51,2187,0,广百股份,3427184,商业百货,2.67,1592551863,2.67,0.92,0.92,0.59,1345,921,630,BK0482
18.13,0.72,300192,0,科斯伍德,977497,化工行业,8.05,1592551863,7.85,3.62,0.42,0.59,1346,383,761,BK0538
7.71,-0.39,300096,0,易联众,220955,软件服务,1.45,1592551863,-1.03,-3.49,-6.39,0.59,1347,2507,3388,BK0737
34.8,2.47,300124,0,汇川技术,3048921,仪器仪表,2.65,1592551863,1.31,-4.75,-1.61,0.58,1348,2879,1564,BK0458
6.85,-1.15,300528,0,幸福蓝海,150326,文化传媒,-2.28,1592551863,-0.44,-2.4,-1.48,0.58,1349,2129,1500,BK0486
4.27,0.71,600011,1,华能国际,654401,电力行业,1.43,1592552379,-0.7,2.46,0.22,0.57,1350,568,811,BK0428
7.09,-0.28,2467,0,二六三,3577281,电信运营,9.58,1592551863,6.62,2.62,-0.28,0.56,1351,538,988,BK0736
5.36,1.52,300323,0,华灿光电,463878,电子元件,1.71,1592551863,-6.13,-7,-9.22,0.56,1352,3370,3773,BK0459
11.86,5.14,603277,1,银都股份,1267542,机械行业,-10.36,1592552383,-17.18,-2.2,-5.41,0.55,1353,2041,3143,BK0545
6.24,0.32,601019,1,山东出版,191145,文化传媒,2.13,1592552397,-0.16,-1.3,-1.32,0.55,1354,1688,1418,BK0486
26.6,1.92,2241,0,歌尔股份,14561344,电子元件,10.01,1592551863,12.43,3.48,1.5,0.54,1355,398,485,BK0459
4.53,0.44,600711,1,盛屯矿业,1403061,有色金属,16.75,1592552379,16.15,9.55,8.27,0.54,1356,62,36,BK0478
18.1,2.55,603706,1,东方环宇,308048,公用事业,6.1,1592552383,0.39,-0.12,-2.67,0.54,1357,1279,2087,BK0427
6.32,0.64,2724,0,海洋王,89753,电子元件,0,1592551863,0,-2.42,1.19,0.54,1358,2142,551,BK0459
75.95,0.28,603719,1,XD良品铺,757661,食品饮料,1.61,1592552388,-3.48,-1.55,-6.83,0.54,1359,1787,3463,BK0438
4.73,0,600880,1,博瑞传播,514927,文化传媒,-5.02,1592552392,3.96,-5.81,-3.18,0.52,1360,3148,2321,BK0486
6.77,-2.45,929,0,兰州黄河,310897,酿酒行业,-2.45,1592551863,-1.74,-4.82,-2.94,0.52,1361,2896,2213,BK0477
8.17,0.37,600510,1,黑牡丹,341479,工程建设,2.38,1592552400,2.13,-3.88,-4.69,0.51,1362,2625,2919,BK0425
9.9,1.23,600138,1,中青旅,485877,旅游酒店,-3.51,1592552403,-2.85,-11.75,-6.76,0.5,1363,3801,3455,BK0485
48.45,0.6,600612,1,老凤祥,441590,珠宝首饰,3.97,1592552385,6.02,4.81,1.71,0.5,1364,250,455,BK0734
13.38,0.07,603519,1,立霸股份,84445,材料行业,-2.05,1592552379,-0.37,-6.66,-0.96,0.5,1365,3309,1252,BK0537
61.4,5.86,600132,1,重庆啤酒,1516474,酿酒行业,4.96,1592552377,0.94,0.61,-3.64,0.48,1366,1012,2526,BK0477
6.28,0.16,600284,1,浦东建设,144783,工程建设,0.16,1592552400,-0.48,-8.38,-4.31,0.48,1367,3559,2785,BK0425
4,0.5,300164,0,通源石油,75983,石油行业,1.52,1592551863,-1.48,-6.68,-3.07,0.47,1368,3315,2266,BK0464
66.99,0.37,2594,0,比亚迪,6900868,汽车行业,8.96,1592551863,6,3.46,-0.92,0.46,1369,401,1236,BK0481
8.21,-0.36,2298,0,中电兴发,395476,软件服务,0.74,1592551863,-0.48,-1.69,-3.99,0.46,1370,1843,2666,BK0737
13.36,0,603915,1,国茂股份,242312,机械行业,4.13,1592552404,2.53,2.21,-2,0.45,1371,616,1765,BK0545
3.16,0.96,600358,1,*ST联合,19020,旅游酒店,-4.82,1592552380,-5.39,-5.03,-4.75,0.45,1372,2949,2943,BK0485
8.49,-0.12,2128,0,露天煤业,759978,煤炭采选,7.2,1592551863,4.81,2.31,-1.35,0.44,1373,595,1429,BK0437
3.52,-1.68,949,0,新乡化纤,174333,化纤行业,5.39,1592551863,5.07,0.23,-0.46,0.44,1374,1125,1050,BK0471
13.53,0.59,601808,1,中海油服,658821,石油行业,0.45,1592552403,2.42,-2,-3.66,0.44,1375,1959,2538,BK0464
2.68,1.13,972,0,ST中基,18355,食品饮料,-0.37,1592551863,-3.94,-5.51,-10.62,0.44,1376,3072,3851,BK0438
5.53,0.36,600638,1,新黄浦,39982,房地产,0.55,1592552385,-5.63,-0.31,-4.19,0.43,1377,1345,2735,BK0451
14.15,0.5,603365,1,水星家纺,50084,纺织服装,0.07,1592552397,-0.28,-8.73,0.44,0.43,1378,3595,756,BK0436
3.98,0.76,600531,1,豫光金铅,113432,有色金属,1.53,1592552392,0.76,-3.66,-2.03,0.42,1379,2561,1782,BK0478
7.78,0,2591,0,恒大高新,209247,化工行业,-2.99,1592551863,-0.26,-6.65,-2.89,0.42,1380,3306,2188,BK0538
12.23,0.25,600818,1,中路股份,191421,文教休闲,0.91,1592552392,-12.01,0.29,-1.32,0.42,1381,1108,1419,BK0740
3.2,1.59,600790,1,轻纺城,330651,商业百货,0,1592552392,-3.9,-3.4,-2.51,0.41,1382,2472,2007,BK0482
114.4,6.92,688004,1,博汇科技,1859359,软件服务,-9.78,1592552379,297.64,-5.25,0.74,0.41,1383,2994,675,BK0737
105.74,6.94,300702,0,天宇股份,1776923,医药制造,5.21,1592551863,18.86,-1.45,0.38,0.41,1384,1746,770,BK0465
10.72,0,2400,0,省广集团,14564352,文化传媒,-2.01,1592551863,7.31,-5.41,-4.51,0.4,1385,3044,2857,BK0486
