f2,f3,f12,f14,f62,f66,f69,f72,f75,f78,f81,f84,f87,f124,f184,f204,f205,f206
16.02,-0.5,300461,田中精机,-702582.0,0.0,0.0,-702582.0,-8.55,-43114.0,-0.52,745696.0,9.07,1592551863,-8.55,-,-,-
7.92,0.38,002248,华东数控,-706043.0,0.0,0.0,-706043.0,-6.39,637043.0,5.76,69000.0,0.62,1592551863,-6.39,-,-,-
179.88,0.49,300785,值得买,-706803.0,-566340.0,-0.35,-140463.0,-0.09,-724109.0,-0.45,1430912.0,0.88,1592551863,-0.43,-,-,-
18.99,0.58,300580,贝斯特,-709670.0,-612471.0,-2.08,-97199.0,-0.33,198986.0,0.68,510683.0,1.74,1592551863,-2.41,-,-,-
4.7,-0.42,000852,石化机械,-711339.0,0.0,0.0,-711339.0,-5.67,-61103.0,-0.49,772442.0,6.15,1592551863,-5.67,-,-,-
10.14,0.6,603689,皖天然气,-712956.0,0.0,0.0,-712956.0,-2.61,2538016.0,9.3,-1825060.0,-6.69,1592552400,-2.61,-,-,-
5.42,-1.28,601368,绿城水务,-714128.0,0.0,0.0,-714128.0,-3.54,-829379.0,-4.11,1543507.0,7.65,1592552400,-3.54,-,-,-
1.42,-0.7,002501,*ST利源,-714531.0,-1484530.0,-14.77,769999.0,7.66,114332.0,1.14,600199.0,5.97,1592551863,-7.11,-,-,-
7.96,0.25,002776,柏堡龙,-717367.0,2273060.0,4.22,-2990427.0,-5.55,-4039689.0,-7.5,4757058.0,8.83,1592551863,-1.33,-,-,-
26.25,1.67,300396,迪瑞医疗,-717462.0,3006133.0,2.72,-3723595.0,-3.37,-2840311.0,-2.57,3557772.0,3.22,1592551863,-0.65,-,-,-
14.45,-0.21,002728,特一药业,-719056.0,0.0,0.0,-719056.0,-4.19,702552.0,4.1,16504.0,0.1,1592551863,-4.19,-,-,-
2.79,-2.11,600892,*ST大晟,-719621.0,0.0,0.0,-719621.0,-11.25,-130686.0,-2.04,850307.0,13.29,1592552377,-11.25,-,-,-
9.93,1.43,600283,钱江水利,-722285.0,0.0,0.0,-722285.0,-2.72,469240.0,1.77,253045.0,0.95,1592552404,-2.72,-,-,-
14.16,-1.05,300593,新雷能,-723003.0,0.0,0.0,-723003.0,-2.25,-678576.0,-2.11,1401579.0,4.36,1592551863,-2.25,-,-,-
4.01,0.0,600622,光大嘉宝,-728595.0,-118121.0,-0.18,-610474.0,-0.94,-4612394.0,-7.13,5340988.0,8.26,1592552397,-1.13,-,-,-
3.16,-0.32,002306,ST云网,-729244.0,0.0,0.0,-729244.0,-10.18,300276.0,4.19,428969.0,5.99,1592551863,-10.18,-,-,-
10.66,-0.74,002836,新宏泽,-731671.0,0.0,0.0,-731671.0,-6.03,704747.0,5.81,26924.0,0.22,1592551863,-6.03,-,-,-
10.2,-0.87,300437,清水源,-732656.0,0.0,0.0,-732656.0,-4.2,529313.0,3.03,203343.0,1.16,1592551863,-4.2,-,-,-
13.97,0.0,002462,嘉事堂,-733408.0,-193335.0,-0.83,-540073.0,-2.32,-36171.0,-0.16,769579.0,3.3,1592551863,-3.14,-,-,-
1.99,1.02,600162,香江控股,-734748.0,-1981644.0,-5.17,1246896.0,3.25,868905.0,2.27,-134156.0,-0.35,1592552376,-1.92,-,-,-
2.99,-0.66,000631,顺发恒业,-734769.0,0.0,0.0,-734769.0,-7.74,1058344.0,11.14,-323574.0,-3.41,1592551863,-7.74,-,-,-
1.94,0.0,600169,太原重工,-735069.0,970000.0,8.9,-1705069.0,-15.64,621324.0,5.7,113745.0,1.04,1592552376,-6.74,-,-,-
3.74,-0.53,002700,ST浩源,-740383.0,0.0,0.0,-740383.0,-9.39,9147.0,0.12,731237.0,9.27,1592551863,-9.39,-,-,-
6.98,0.58,000635,英 力 特,-752663.0,0.0,0.0,-752663.0,-8.22,-56489.0,-0.62,809152.0,8.84,1592551863,-8.22,-,-,-
35.0,0.75,300689,澄天伟业,-762928.0,10446.0,0.07,-773374.0,-4.97,1869291.0,12.02,-1106362.0,-7.11,1592551863,-4.91,-,-,-
6.9,0.0,002295,精艺股份,-763349.0,0.0,0.0,-763349.0,-11.32,547147.0,8.11,216201.0,3.21,1592551863,-11.32,-,-,-
7.43,0.0,600851,海欣股份,-769924.0,0.0,0.0,-769924.0,-5.64,-825697.0,-6.04,1595621.0,11.68,1592552403,-5.64,-,-,-
3.37,4.98,600870,ST厦华,-770300.0,-2191767.0,-11.92,1421467.0,7.73,753297.0,4.1,17004.0,0.09,1592552388,-4.19,-,-,-
12.85,0.0,002887,绿茵生态,-770695.0,0.0,0.0,-770695.0,-1.26,-6525140.0,-10.66,7295836.0,11.92,1592551863,-1.26,-,-,-
6.82,0.0,600874,创业环保,-773840.0,0.0,0.0,-773840.0,-2.71,-672559.0,-2.36,1446398.0,5.07,1592552403,-2.71,-,-,-
6.91,0.14,600301,ST南化,-777861.0,0.0,0.0,-777861.0,-23.92,778404.0,23.94,-543.0,-0.02,1592552401,-23.92,-,-,-
11.83,0.42,601512,中新集团,-778045.0,16506.0,0.03,-794551.0,-1.57,840396.0,1.66,-62351.0,-0.12,1592552389,-1.54,-,-,-
17.36,-0.17,300069,金利华电,-789354.0,0.0,0.0,-789354.0,-1.62,-1198198.0,-2.46,1987551.0,4.08,1592551863,-1.62,-,-,-
15.32,0.39,603757,大元泵业,-790727.0,-853468.0,-4.22,62741.0,0.31,302606.0,1.5,488122.0,2.41,1592552389,-3.91,-,-,-
2.71,-0.37,600982,宁波热电,-791493.0,0.0,0.0,-791493.0,-11.68,575115.0,8.49,216377.0,3.19,1592552389,-11.68,-,-,-
15.39,0.26,600639,浦东金桥,-794108.0,-306718.0,-0.68,-487390.0,-1.08,2474667.0,5.5,-1680559.0,-3.73,1592552389,-1.76,-,-,-
53.0,1.28,002690,美亚光电,-800265.0,291257.0,0.2,-1091522.0,-0.76,-4660544.0,-3.24,5460808.0,3.8,1592551863,-0.56,-,-,-
5.61,0.0,002620,瑞和股份,-801725.0,0.0,0.0,-801725.0,-8.87,-784754.0,-8.68,1586479.0,17.56,1592551863,-8.87,-,-,-
94.4,1.57,002847,盐津铺子,-805468.0,4929093.0,2.84,-5734561.0,-3.3,-4693878.0,-2.7,5499345.0,3.16,1592551863,-0.46,-,-,-
47.2,-0.82,603283,赛腾股份,-805535.0,-1317739.0,-0.55,512204.0,0.21,-4452013.0,-1.86,5257547.0,2.2,1592552381,-0.34,-,-,-
14.68,0.96,603086,先达股份,-805816.0,0.0,0.0,-805816.0,-5.8,2152344.0,15.49,-1346528.0,-9.69,1592552389,-5.8,-,-,-
5.48,0.18,600579,克劳斯,-808001.0,247148.0,0.99,-1055149.0,-4.23,337909.0,1.35,470092.0,1.88,1592552382,-3.24,-,-,-
6.25,-0.95,000626,远大控股,-811275.0,-163386.0,-0.9,-647889.0,-3.55,-617794.0,-3.39,1429069.0,7.84,1592551863,-4.45,-,-,-
3.66,1.95,002517,恺英网络,-813232.0,-2673085.0,-1.0,1859853.0,0.69,7294263.0,2.72,-6481031.0,-2.42,1592551863,-0.3,-,-,-
3.43,-0.87,002499,*ST科林,-814849.0,0.0,0.0,-814849.0,-10.91,663106.0,8.88,151743.0,2.03,1592551863,-10.91,-,-,-
5.99,-0.5,002658,雪迪龙,-816289.0,0.0,0.0,-816289.0,-6.23,1191481.0,9.09,-375192.0,-2.86,1592551863,-6.23,-,-,-
3.84,-0.26,000757,浩物股份,-816394.0,0.0,0.0,-816394.0,-10.93,9782.0,0.13,806612.0,10.8,1592551863,-10.93,-,-,-
2.5,-0.4,600293,三峡新材,-816803.0,0.0,0.0,-816803.0,-4.78,361322.0,2.11,455482.0,2.66,1592552376,-4.78,-,-,-
14.22,-0.28,603630,拉芳家化,-822703.0,0.0,0.0,-822703.0,-1.68,-1649258.0,-3.37,2471961.0,5.05,1592552394,-1.68,-,-,-
6.68,3.25,300324,旋极信息,-824171.0,3678064.0,1.74,-4502235.0,-2.12,-6581353.0,-3.1,7405523.0,3.49,1592551863,-0.39,-,-,-
18.44,-0.16,300417,南华仪器,-827608.0,0.0,0.0,-827608.0,-4.2,-1426685.0,-7.24,2254294.0,11.43,1592551863,-4.2,-,-,-
8.62,0.0,300402,宝色股份,-828852.0,0.0,0.0,-828852.0,-10.22,-136100.0,-1.68,964952.0,11.9,1592551863,-10.22,-,-,-
8.51,-0.12,300475,聚隆科技,-830545.0,0.0,0.0,-830545.0,-7.55,110954.0,1.01,719591.0,6.54,1592551863,-7.55,-,-,-
5.85,0.86,300259,新天科技,-842406.0,104400.0,0.13,-946806.0,-1.22,3459166.0,4.46,-2616761.0,-3.38,1592551863,-1.09,-,-,-
16.17,-0.06,300467,迅游科技,-847563.0,0.0,0.0,-847563.0,-1.12,-1681622.0,-2.22,2529185.0,3.34,1592551863,-1.12,-,-,-
12.1,-0.49,603580,艾艾精工,-856448.0,0.0,0.0,-856448.0,-4.46,-321189.0,-1.67,1177638.0,6.14,1592552385,-4.46,-,-,-
33.2,-0.9,300818,耐普矿机,-857620.0,0.0,0.0,-857620.0,-4.65,-1236637.0,-6.7,2094257.0,11.35,1592551863,-4.65,-,-,-
4.86,0.41,603011,合锻智能,-860137.0,0.0,0.0,-860137.0,-6.6,164371.0,1.26,695767.0,5.34,1592552379,-6.6,-,-,-
51.85,2.05,688025,杰普特,-862891.0,-1375053.0,-1.9,512162.0,0.71,-1220352.0,-1.68,2083242.0,2.87,1592552394,-1.19,-,-,-
8.04,-0.5,603818,曲美家居,-863254.0,-60000.0,-0.4,-803254.0,-5.32,-179075.0,-1.19,1042328.0,6.91,1592552387,-5.72,-,-,-
4.96,0.2,002472,双环传动,-865771.0,0.0,0.0,-865771.0,-4.1,-94222.0,-0.45,959994.0,4.54,1592551863,-4.1,-,-,-
14.79,0.07,300717,华信新材,-867619.0,0.0,0.0,-867619.0,-6.99,-712281.0,-5.74,1579899.0,12.73,1592551863,-6.99,-,-,-
2.82,-0.35,000753,漳州发展,-868805.0,-43186.0,-0.23,-825619.0,-4.43,-785234.0,-4.22,1654039.0,8.88,1592551863,-4.67,-,-,-
